feature,bin,score_contribution
fatigue_score,0.5893486355005313,-0.13453267492309617
fatigue_score,0.6027627624274259,-0.13780267947036817
fatigue_score,0.6198951143413172,-0.14027198746415173
fatigue_score,0.6377748877986205,-0.14330420319945303
fatigue_score,0.6546419469404001,-0.14759303243762978
fatigue_score,0.6720511862435872,-0.17057518653244158
fatigue_score,0.6870951457725262,-0.1747858668107298
fatigue_score,0.7115791581529354,-0.17878191832864043
fatigue_score,0.7393616338091706,-0.5981533932231297
fatigue_score,0.771151165234596,-0.6044511853530479
fatigue_score,0.8256963391904284,-0.6080660011274777
sentiment_score,-2.0,-1.3655527958688911
sentiment_score,-1.7293871165405479,-1.389580209521978
sentiment_score,-1.4938788465035686,-1.376793055267529
sentiment_score,-1.301252464197557,-1.3580926958282695
sentiment_score,-1.195216327303712,-1.340551507128482
sentiment_score,-1.10294396673501,-1.0045197836124604
sentiment_score,-1.0275835454968134,-0.962883979555834
sentiment_score,-0.9435692936234799,-0.8269230143524439
sentiment_score,-0.871109246070209,-0.8017943755597875
sentiment_score,-0.8154315456733423,-0.7763400207738795
sentiment_score,-0.7590974176302576,-0.7642704752233512
sentiment_score,-0.7048532195494566,-0.7446569931612524
sentiment_score,-0.6596214020935596,-0.6101285160770867
sentiment_score,-0.6176156422487975,-0.46332832358515097
sentiment_score,-0.5695055578586887,-0.39250548108495203
sentiment_score,-0.5329765764675022,-0.3760282162043359
sentiment_score,-0.48485707991023536,-0.3677698550707064
sentiment_score,-0.4499617440787118,-0.3583888251157234
sentiment_score,-0.40410222733955936,-0.3516675904069815
sentiment_score,-0.361215683902102,-0.3439583259030394
sentiment_score,-0.33054949444612036,-0.3386517862859432
sentiment_score,-0.286892753770739,-0.1347494482885388
sentiment_score,-0.2470158209616643,-0.09884052494286359
sentiment_score,-0.215830761337442,-0.08991376225101132
sentiment_score,-0.1869932024505251,-0.0785308535241441
sentiment_score,-0.15845931671789945,-0.07209044453210098
sentiment_score,-0.12552609990906005,-0.06413247331584516
sentiment_score,-0.0909402982695391,-0.05264443415419635
sentiment_score,-0.06040887311360355,-0.04132312583553899
sentiment_score,-0.02588493525475405,-0.034130359514900566
sentiment_score,0.00230650786855585,-0.025733185184370972
sentiment_score,0.03574910863586925,-0.017229178819225546
sentiment_score,0.068468107820239,-0.008130131296554292
sentiment_score,0.1083389142539844,0.0027632999479024842
sentiment_score,0.13963860312866722,0.009407924287149889
sentiment_score,0.17705219459585514,0.020384988953335847
sentiment_score,0.20401666336004703,0.027748576281597583
sentiment_score,0.23188895390907038,0.039854028486228904
sentiment_score,0.2697725114396441,0.05014863187824463
sentiment_score,0.30046918838188963,0.0617943327933393
sentiment_score,0.3247694306073548,0.2610452556402616
sentiment_score,0.36026861283262174,0.27673055891926085
sentiment_score,0.3967712923104102,0.32817824955119135
sentiment_score,0.4300904216777411,0.344220859137484
sentiment_score,0.4743503793681304,0.35562448591160445
sentiment_score,0.5098300998301633,0.37229449892894606
sentiment_score,0.547301896024917,0.4368676884375155
sentiment_score,0.5868332627913274,0.4525267052136944
sentiment_score,0.6370321980260947,0.4631939818743972
sentiment_score,0.6819116993141499,0.47565689458746335
sentiment_score,0.7271403336877498,0.8956941479042556
sentiment_score,0.7874195703179543,0.9024517426707882
sentiment_score,0.8352968591287414,0.9104499405969774
sentiment_score,0.8890173499277428,0.939258947199454
sentiment_score,0.9489059825680444,0.9484621728769957
sentiment_score,1.0042172860026715,1.0200394084509483
sentiment_score,1.080475710310011,1.0303881820155758
sentiment_score,1.154172880642332,1.0475698349154607
sentiment_score,1.2443255660477444,1.2786391000077826
sentiment_score,1.3555368393368028,1.323099760192464
sentiment_score,1.4867056933417753,1.3381352904198098
sentiment_score,1.7260703032825626,1.361544072452032
engagement_rate_30d,0.0152285670540905,-0.6996279703796963
engagement_rate_30d,0.08482733259564784,-0.6924502639788508
engagement_rate_30d,0.11168043220567295,-0.6874467254919988
engagement_rate_30d,0.1343305453625382,-0.6822441107163483
engagement_rate_30d,0.1498366405996634,-0.675353496497252
engagement_rate_30d,0.1662160429360847,-0.676605193582849
engagement_rate_30d,0.1791045783159721,-0.6711912079362167
engagement_rate_30d,0.1934849444055025,-0.6232674874026535
engagement_rate_30d,0.20770363857400487,-0.43905029095340026
engagement_rate_30d,0.22116691251711756,-0.43319262271683967
engagement_rate_30d,0.2346180727661718,-0.4283543038859722
engagement_rate_30d,0.24696990903715577,-0.4233686340508988
engagement_rate_30d,0.259453782239608,-0.41628861515314936
engagement_rate_30d,0.2736791580450194,-0.4098865787565228
engagement_rate_30d,0.2848704685700246,-0.398219806201909
engagement_rate_30d,0.2971084861096333,-0.33371213080163337
engagement_rate_30d,0.306399583430328,-0.32081812318588165
engagement_rate_30d,0.31577137196656874,-0.30975977160667345
